time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010450600000	13.1414	20.8742	4.92409	2.95275	0.587331	lidar	0.167285	13.1072	20.8294	13.2271	20.9211	-4.73904	1.01975
1477010450650000	12.9097	20.9324	4.91806	2.97451	0.57797	radar	1.75253	13.2669	21.1579	12.9895	20.969	-4.76702	0.897694
1477010450700000	12.7061	20.9785	4.87254	2.99643	0.572262	lidar	1.84808	12.8729	21.0592	12.7506	21.0108	-4.79186	0.775469
1477010450750000	12.4547	21.0185	4.89169	3.0248	0.574196	radar	2.59212	11.5171	21.6724	12.5106	21.0465	-4.81358	0.653175
1477010450800000	12.2078	21.0561	4.90236	3.04934	0.569521	lidar	0.159591	12.2062	21.11	12.2695	21.0761	-4.83219	0.530912
1477010450850000	11.969	21.0759	4.89984	3.08057	0.577913	radar	0.948469	12.3859	21.1066	12.0276	21.0996	-4.84773	0.408778
1477010450900000	11.7246	21.0476	4.88419	3.12376	0.593311	lidar	1.88505	11.6814	20.8651	11.785	21.117	-4.86022	0.286869
1477010450950000	11.4774	21.0342	4.88408	3.15927	0.600232	radar	1.08162	11.5265	20.6748	11.5418	21.1283	-4.86971	0.165281
1477010451000000	11.2591	21.0287	4.8508	3.18757	0.599606	lidar	0.673776	11.363	21.0688	11.2982	21.1335	-4.87623	0.0441057
1477010451050000	11.0052	20.9901	4.86113	3.22721	0.610212	radar	4.14465	10.5558	20.5567	11.0544	21.1327	-4.87982	-0.076565
1477010451100000	10.7923	20.9528	4.81942	3.26233	0.616585	lidar	0.596288	10.8903	20.927	10.8105	21.1259	-4.88053	-0.196643
1477010451150000	10.5441	20.952	4.81356	3.26755	0.567664	radar	5.60477	9.30535	21.3896	10.5666	21.1131	-4.8784	-0.31604
1477010451200000	10.2672	20.9782	4.87537	3.2725	0.540466	lidar	3.38588	10.189	21.209	10.3229	21.0943	-4.87349	-0.434674
1477010451250000	10.0282	20.9599	4.87184	3.29153	0.529406	radar	1.02133	9.97958	21.2932	10.0795	21.0697	-4.86585	-0.552463
1477010451300000	9.83075	20.9215	4.81425	3.31917	0.532568	lidar	1.68647	9.99634	20.9797	9.83658	21.0391	-4.85554	-0.669327
1477010451350000	9.59529	20.9134	4.78984	3.3173	0.48047	radar	2.38881	9.38223	21.111	9.59422	21.0028	-4.84262	-0.785189
1477010451400000	9.39945	20.8615	4.73653	3.34629	0.487347	lidar	1.11678	9.53921	20.8762	9.35258	20.9607	-4.82714	-0.899977
1477010451450000	9.17653	20.8207	4.72666	3.3679	0.485618	radar	1.49687	9.63392	20.9724	9.11177	20.9128	-4.80919	-1.01362
1477010451500000	8.88963	20.7875	4.80374	3.37946	0.470006	lidar	2.10621	8.70331	20.8221	8.87192	20.8594	-4.78881	-1.12605
1477010451550000	8.67331	20.7086	4.78561	3.41344	0.484227	radar	4.45956	9.84634	20.009	8.63315	20.8003	-4.76608	-1.2372
1477010451600000	8.40141	20.6239	4.84384	3.44078	0.486073	lidar	2.73697	8.22277	20.4839	8.39557	20.7358	-4.74108	-1.34701
1477010451650000	8.17294	20.5438	4.84635	3.46981	0.494565	radar	0.0957114	8.29647	20.4978	8.1593	20.6657	-4.71387	-1.45542
1477010451700000	7.93184	20.4636	4.86349	3.49296	0.492448	lidar	0.127521	7.88599	20.45	7.92445	20.5903	-4.68453	-1.56237
1477010451750000	7.71567	20.3773	4.86411	3.52599	0.512721	radar	3.4952	8.29081	20.6565	7.69111	20.5096	-4.65313	-1.66781
1477010451800000	7.41322	20.3188	4.96127	3.52849	0.485486	lidar	3.57566	7.18029	20.392	7.45939	20.4237	-4.61975	-1.7717
